               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079711,            0.055958,            0.064625,             0.46016,             0.27393,            0.072525,            0.030491,            0.048895,            0.022185,            0.066424,            0.070143,           0.0033175,           0.0033175
                   1,            0.058399,             0.04047,            0.055999,              0.4579,             0.21555,            0.088601,            0.045128,            0.038665,            0.019365,            0.064631,            0.039484,           0.0059924,           0.0059924
                   2,            0.053959,            0.037941,            0.055008,             0.42378,             0.35546,             0.12921,             0.06147,            0.038207,             0.01584,            0.063298,            0.008166,           0.0080073,           0.0080073
                   3,            0.047379,            0.036474,            0.052939,             0.80593,             0.18985,             0.17296,            0.093909,            0.034475,            0.014768,            0.060517,             0.00703,             0.00703,             0.00703
                   4,            0.043256,               0.035,            0.049739,             0.79985,             0.19029,             0.19631,            0.097016,             0.03615,            0.014403,            0.059754,             0.00703,             0.00703,             0.00703
                   5,            0.039323,            0.036191,            0.046632,             0.84108,             0.20351,             0.22082,             0.11572,            0.030347,            0.013968,            0.056767,             0.00604,             0.00604,             0.00604
                   6,             0.03728,            0.034811,            0.043042,             0.87103,             0.18187,             0.23254,             0.12553,            0.030661,            0.014608,            0.053901,             0.00505,             0.00505,             0.00505
                   7,            0.035954,            0.034486,            0.039871,              0.8505,             0.15512,             0.18898,             0.10383,            0.029446,            0.020862,            0.058107,             0.00406,             0.00406,             0.00406
                   8,            0.034504,            0.032979,            0.035443,             0.89502,             0.18396,             0.24704,             0.13774,            0.028538,            0.013563,            0.051868,             0.00307,             0.00307,             0.00307
                   9,            0.033732,            0.033495,            0.034642,             0.88998,             0.18733,             0.26765,             0.14714,            0.028275,            0.013855,            0.050476,             0.00208,             0.00208,             0.00208
